name,physical_address,postal_address,phone_number
Acacia Hill School,"80 Spearwood Rd, NT, Alice Springs, 0870","PO Box 435, NT, ALICE SPRINGS, 0871",(08) 895 52222
Adelaide River School,"31 Memorial Tce, NT, Adelaide River, 0846","C/- Post Office, NT, Adelaide River, 0846",(08) 8976 7034
Alawa Pre School,"27 Pett St, NT, Alawa",",",(08) 899 77666
Alawa Primary School,"27 Pett Street, NT, Alawa, 0810","PO Box 40446, NT, Casuarina, 0811",(08) 899 77666
Alcoota School,"N/A, NT, Engawala (Alcoota Stn)","PMB 129, NT, via Alice Springs, 0872",(08) 8956 9977
Alekarenge School,"N/A, NT, Ali Curung (Warrabri)","LMB 161, NT, via Alice Springs, 0872",(08) 8964 1957
Alice Springs Language Centre,"Milner Road, NT, Alice SPrings, 0870","PO Box 9045, NT, Alice Springs, 0871",(08) 895 52366
Alice Springs School Of The Air,"80 Head St, NT, Alice Springs, 0870","PO Box 1220, NT, Alice Springs, 0871",(08) 8951 6800
Alice Springs Steiner School,"Lot 9523 Ragonesi Rd, NT, Alice Springs, 0870","PO Box 2736, NT, Alice Springs, 0871",(08) 8953 4578
Alpurrurulam School,"N/A, NT, Alpurrurulam (Lake Nash)","PMB 46, QLD, Mt Isa, 4825",(07) 4748 4887
Alyangula Area School,"Cnr Flinders St & Ayawarra Cr, NT, Alyangula","PMB 3, NT, Alyangula, Groote Eylandt, 0885",(08) 8987 6366
Alyangula Pre School,"Cnr Flinders St & Ayawarra Cr, NT, Alyangula",",",(08) 8987 6366
Alyarrmandumanja Umbakumba School,"N/A, NT, Umbakumba","PO Box 698, NT, Alyangula, 0885",(08) 8987 6793
Amanbidji School,"N/A, NT, Amanbidgi (Kildirk)","PMB 16, NT, via Katherine, 0851",(08) 9168 7380
Amoonguna School,"N/A, NT, Amoonguna","PO Box 2529,, NT, Alice Springs, 0871",(08) 8952 3402
Ampilatwatja School,"N/A, NT, Ampilatwatja (Ammaroo)","NT, PMB 84, Alice Springs, 0872",(08) 8956 9265
Angurugu Pre School,"N/A, NT, Angurugu",",",(08) 89876255
Angurugu School,"N/A, NT, Angurugu","PO Box 40, NT, Alyangula, Groote Eylandt, 0885",(08) 8987 6355
Anula Pre School,"73 Yanyula Dr, NT, Anula",",",(08) 899 77500
Anula Primary School,"73 Yanyula Dr, NT, Anula, 0812","Yanyula Drive, NT, ANULA, 0812",(08) 899 77500
Araluen Christian School,"10 Blain St, NT, Alice Springs","10 Blain Street, NT, Alice Springs, 0870",(08) 8955 3300
Areyonga School,"wsw of Hermannsburg, 224km from Alice Springs, NT, Areyonga","Areyonga, NT, via Alice Springs, 0872",(08) 8956 7303
Arlparra School,"NT, Arlparra Community, Utopia","PMB 18, NT, via ALICE SPRINGS, 0872",(08) 8956 9178
Australian International Islamic College,"33 Bowerlee Road, NT, Berrimah NT 0828","25 Bowerlee Road, NT, Berrimah, 0828",(03) 33721400
Bakewell Pre School,"5 Hutchison Tce, NT, Bakewell, 0832","tba, tba, 0832",(08) 899 77400
Bakewell Primary School,"1 Forrest Parade, NT, Bakewell, 0832","PO Box 1300, NT, PALMERSTON, 0831",(08) 899 77400
Baniyala Garrangali School,"Yilpara Community, NT, Yirrkala, 0880","PO Box 1496, NT, NHULUNBUY, 0881",(08) 8987 9114
Barunga School,"N/A, NT, Barunga (Bamyili)","PMB 117, NT, via Katherine, 0851",(08) 8975 4502
Batchelor Area School,"71 Kirra Cres, NT, Batchelor, 0845","c/-, NT, Batchelor Post Office, 0845",(08) 8976 0077
Batchelor Pre School,"71 Kirra Cres, NT, Batchelor",",",(08) 8976 0077
Bees Creek Pre School,"20 Sattler Cres, NT, Freds Pass",",",(08) 8983 3222
Bees Creek Primary School,"20 Sattler Cres, NT, Freds Pass","PO Box 1500, NT, Coolalinga, 0839",(08) 8983 3222
Belyuen School,"N/A, NT, Belyuen","PMB 2, NT, GPO Darwin, 0801",(08) 8978 5085
Berry Springs Pre School,"1150 Cox Peninsula Rd, NT, Berry Springs",",",(08) 8988 6006
Berry Springs Primary School,"1150 Cox Peninsula Rd, NT, Berry Springs, 0838","PO Box 135, NT, Berry Springs, 0838",(08) 8988 6006
Bonya School,"Community ID 26, NT, Orrtipa-Thurra (Bonya)","PMB 69, NT, via Alice Springs, 0872",(08) 8956 6352
Borroloola Pre School,"321 Robinson Road, NT, Borroloola",",",(08) 89 758780
Borroloola School,"321 Robinson Rd, NT, Borroloola, 0854","PMB 5, NT, Borroloola, 0854",(08) 896 51800
Bradshaw Pre School,"23 Adamson Ave, NT, Alice Springs",",",(08) 895 52100
Bradshaw Primary School,"23 Adamson Ave, NT, Alice Springs, 0870","PO Box 1744, NT, ALICE SPRINGS, 0871",(08) 895 52100
Braitling Pre School,"80 Head St, NT, Alice Springs",",",(08) 8985 8511
Braitling Primary School,"80 Head St, NT, Alice Springs, 0870","PO Box 1669, NT, ALICE SPRINGS, 0871",(08) 895 85111
Bulla Camp School,"N/A, NT, Bulla","PMB 89, NT, Katherine, 0851",(08) 9167 8957
Bulman School,"N/A, NT, Bulman","PMB 13, NT, Katherine, 0851",(08) 8975 4707
Callistemon House,"80 Callistemon Dr, NT, Katherine East, 0850","PO Box 1971, NT, Katherine East, 0851",(08) 8972 3212
Canteen Creek School,"N/a, NT, Canteen Creek","PMB 105, NT, via Alice Springs, 0872",(08) 8964 1505
Casuarina Senior College,"61 Parer Dr, NT, Moil, 0810","PO Box 40196, NT, CASUARINA, 0811",(08) 898 37300
Casuarina Street Pre School,"Casuarina St, NT, Katherine East",",",(08) 897 33800
Casuarina Street Primary School,"Casuarina St, NT, Katherine East, 0850","PO Box 1046, NT, KATHERINE, 0851",(08) 897 33800
Centralian Middle School,"56 Milner Rd, NT, Alice Springs, 0870","PO Box 1771, NT, ALICE SPRINGS, 0871",(08) 895 52333
Centralian Senior College,"10 Grevillea Drive, NT, Alice Springs, 0870","PO Box 4856, NT, ALICE SPRINGS, 0871",(08) 895 85000
Clyde Fenton Pre School,"101 Giles St, NT, Katherine",",",(08) 897 33855
Clyde Fenton Primary School,"101 Giles St, NT, Katherine, 0850","PO Box 421, NT, KATHERINE, 0851",(08) 897 33844
Darwin High School,"10 Atkins Dr, NT, The Gardens, 0820","Bullocky Point, NT, DARWIN, 0820",(08) 899 91222
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, NT, Nightcliff, 0814",(08) 899 77000
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, NT, not available","PO Box 2257, NT, PARAP, 0804",(08) 894 25200
Dhupuma Barker,"116 Gunyangara Rd, NT, Gunyangara, 0880","PO Box 394, NT, Nhulunbuy, 0881",(08) 8438 7000
Douglas Daly School,"Jungawa Rd, NT, Douglas-Daly","PMB 46, NT, via Winnellie, 0822",(08) 8978 2836
Dripstone Middle School,"10 Delamere St, NT, Tiwi, 0810","PO Box 41370, NT, CASUARINA, 0811",(08) 898 37777
Driver Pre School,"37 Driver Ave, NT, Driver",",",(08) 893 59055
Driver Primary School,"37 Driver Ave, NT, Driver, 0830","PO Box 33, NT, PALMERSTON, 0831",(08) 893 59000
Dundee Beach School,"500 Namarada Dr, NT, Dundee Beach","PO Box 145, NT, Dundee Beach, 0840",(08) 8978 2212
Durack Pre School,"50 Woodlake Blvd, NT, Durack",",",(08) 899 77555
